caption_predicted,caption_1,caption_2,caption_3,caption_4,caption_5,mult_captions_predicted_1,mult_captions_predicted_2
a machine runs while people talk,constant rattling noise and sharp vibrations,vibrations and rattling with people speaking in the distance,a machine is making clicking sound as people talk in the background,clicking and screeching metal with people speaking,a machine makes stitching sounds while people are talking in the background,a machine runs while people talk,a machine runs while people speak
a loud explosion followed by explosions,a rocket flies by followed by a loud explosion and fire crackling as a truck engine runs idle,a whooshing noise followed by an explosion,a missile launching followed by an explosion and metal screeching as a motor hums in the background,whistling and an explosion,a whistling and then an explosion and crackling,a loud explosion followed by explosions,a loud explosion followed by explosions and a whoosh
a child speaks and laughs,humming and vibrating with a man and children speaking and laughing,a quiet machine running and a child speaking and then an adult speaks and the child laughs,a toy train running as a young boy talks followed by plastic clanking then a child laughing,small child speaking and a train running followed by a woman speaking and laughter,a train chugging a child speaking and then a female speaking and laughter,a child speaks and laughs,a child laughs and speaks
a train running on railroad tracks as a train horn blows,a train running on a railroad track followed by a vehicle door closing and a man talking in the distance while a train horn honks and railroad crossing warning signals ring,a repeating train horn and warning bells get louder as a train approaches,clattering of a train is ongoing a railroad crossing bell rings and a train horn blows,humming and rattling followed by distant warning bells and the horn of an oncoming train,a train running on a railroad track followed by a vehicle door closing and a man talking while a train horn is blowing and railroad crossing signals are ringing in the distance,a train running on railroad tracks as a train horn blows,a train running on railroad tracks as a train horn blows and railroad crossing signals ring
a woman speaks while food fries,food is frying and a woman talks,a woman is talking as food is frying,food sizzling with some knocking and banging followed by a woman speaking,frying and female speech,a woman speaks with food sizzling in a pan with some chopping,a woman speaks while food fries,a woman speaks as food fries
a man speaks and a dog barks,a man speaks as birds chirp and dogs bark,a man is speaking as birds are squawking and a dog barks,a man talks while several animals make noises in the background,a man speaking followed by dogs barking alongside chimps screaming and birds chirping,a man speaking as monkeys scream and dogs bark followed by birds cawing in the distance,a man speaks and a dog barks,a man speaking and a dog barking
a vehicle is driving by and honks its horn,a large truck driving by as an emergency siren wails and truck horn honks,a wailing siren fades a motor sputters then the siren resumes accompanied by blaring horns,an emergency siren ringing with car horn honking,a fire truck engine runs and the siren is blowing but stops traffic is present the fire truck horn honks twice and the siren begins again,a fire engine with a siren fading then another loud siren,a vehicle is driving by,a vehicle is driving by and honks its horn
a child speaks and a woman speaks,a child yelling as a young boy talks during several slaps on a hard surface,a child speaks followed by second child speaking as well,an infant yelling as a young boy talks while a hard surface is slapped several times,a young boy talking as a baby is yelling with several slaps on a hard surface,a young kid speaking with a series of slapping on a hard surface as a baby is yelling,a child speaks and a woman speaks,a young child speaks and a woman speaks
a vehicle engine idles and a horn blows,an engine rumbles loudly then an air horn honk three times,humming of an engine followed by some honks of a horn,a bus engine running followed by a bus horn honking,a bus engine accelerating followed by a bus horn honking while plastic clacks,a bus engine running followed by a vehicle horn honking,an engine idles and a horn blows,a vehicle engine idles and a horn blows
a man speaking over a telephone speaker,a person snoring with another man speaking,a man talking as a person is snoring,a man speaking followed by snoring,two men speaking,a man talking as a person is snoring and a vehicle accelerates in the distance,a man speaks over a telephone,a man speaking over a telephone speaker
rain falls and thunder roars,thunder and a gentle rain,thunder roars in the distance as rain falls,rolling thunder with lightning strikes,rain falling with thunder in the distance,rain and thunder,rain falls and thunder roars,rain falls and thunder cracks
a child is speaking and a woman speaks,a woman talks and a baby whispers,a woman talking as a baby talks followed by plastic thumping,a woman and a baby are having a conversation,a woman speaks then a small child speaks,a young girl talking as a woman is talking,a child is speaking,a child is speaking and a woman speaks
a man is speaking and water is flowing,a man talking as a stream of water trickles in the background,water trickling while a man speaks,water trickling with man speaking,a man talking as water streams in the background,a man talking as water streams in the background,a man speaks while water flows,a man is speaking and water is flowing
a toilet flushes and a woman speaks,a person briefly talks followed quickly by toilet flushing and another voice from another person,a kid speaking followed by a toilet flushing then a girl talking,female speech a toilet flushing and then more speech,a woman talking followed by a toilet flushing while a kid talks,music plays and an adult female speaks a flush occurs and water splashes and gurgles and a young female speaks,a toilet flushes and a woman speaks,a toilet flushes and then a woman speaks
a train running on railroad tracks,machinery banging and hissing,a train clicks on a track,a cuckoo bird coos followed by a train running on railroad tracks as a bell dings in the background,railroad rail clicky-clack metallic vibration and steam hissing occur,a cuckoo clock cooing followed by a steam engine running on railroad tracks as steam hisses and a railroad crossing signal bell rings in the distance,a train running on railroad tracks,a train running on railroad tracks as a train horn blows
a cat meows and a woman speaks,a person talking which later imitates a couple of meow sounds,a person speaks and makes meow sounds,a man talking then meowing and hissing,a man talks like a cat before growling then meowing and finally hissing,a man speaking then hissing,a cat meows and a woman speaks,a cat meows and a person speaks
water is flowing and gurgling,rain is falling continuously,a stream of water trickling followed by water pouring down a drain,water flowing through pipes,water flows and splashes,water trickling rapidly and draining,water is flowing and gurgling,water is flowing and gurgling and gurgling
a baby cries loudly,an infant crying followed by a man laughing,baby crying and person tapping his mouth,an infant crying followed by a man laughing,a baby is crying,an infant makes babbling noise followed by crying,a baby cries loudly,a baby is crying
a man speaks followed by a door opening and a man speaking,a man talking as a door slams shut followed by a door creaking,male speech a door closing and then male speech,a man speaking followed by a door shutting and then the man speaks some more,a man talking as a door closes shut followed by a door slowly creaking,male speech and then a door shutting,a man speaks followed by a door opening,a man speaks followed by a door opening and a man speaking
a person whistling a tune,whistling with wind blowing,a whistling noise with wind blowing in the background,the wind is blowing and a person is whistling a tune,a person whistling as wind blows lightly into a microphone,a person whistles with wind blowing,someone whistles a tune,a person whistling a tune
