caption_predicted,caption_1,caption_2,caption_3,caption_4,caption_5
a person speaks and a vehicle engine runs,material crumbles into a microphone,paper is crumpling,plastic is crumpling in a microphone,plastic is crinkling and crumpling,a plastic package crumples and crinkles
rain falls on a surface as thunder runs,rain falls onto a hard surface and thunder roars,continuos heavy rainfall and thunder,rain falls onto a hard surface and thunder roars,a storm rolls by loudly with rain falling and thunder and lighting going off,a heavy rainstorm with thunder
a vehicle engine is running and revving up,the humming of an idling then revving engine,a vehicle engine runs smoothly then revs aggressively,an engine is idle then it begins revving loudly,engine running then revving up,a vehicle engine begins revving after idling
a vehicle engine is running and revving up,an engine revs and runs roughly,a vehicle engine is revving loudly,a motor revs repeatedly,a large powerful engine revs repeatedly,vehicle engine revving
a vehicle engine is running and revving up,a large crowd cheers and applauds,an audience screams and gives applause,continuous applause and cheering,an audience screams and gives applause,an audience cheers
a vehicle engine is running and revving up,a motor vehicle roars drowning out people speaking in the background,water rushes and then a vehicle zooms past,water rushes by followed by a motorcycle zooming by in the distance,a motor vehicle accelerate,a vehicle with a diesel engine accelerates
a vehicle engine is running and revving up,people talk quietly in the distance followed by a police car siren wailing,multiple people speak then an emergency vehicle siren sounds,a group of people speak followed by a siren blaring,multiple people speak then a siren sounds,multiple people speak and a siren sounds
a man speaks and a vehicle engine runs,a man speaks and uses a drill,a man speaks then uses a drill,a man speaks followed by a machine whirling,a man speaks and a shrill motor whirls,a man speaks then uses a drill
a man speaks and a vehicle engine runs,a man and women speak,a woman and man speak on a telephone,a man speaks and a woman speaks over the phone with several digital beeps,a man and a woman speaking with intermittent beeping,a man speaks while a telephone operator speaks and the phone beeps
a vehicle engine is running and revving up,an engine starts and increases in power,an airplane accelerates briefly,an aircraft engine runs and accelerates,airplane engine revving up,the wind roars as an aircraft moves down a runway
a toilet flushing,a toilet flushes and water drains,a toilet flushes and water drains,a toilet flushing followed by shuffling and a woman speaking in the background with some camera muffling,water gurgles and drains,water drains and sputters
a dog barks and a man speaks,small dogs yip and bark sharply,excited dogs bark and yip,multiple dogs bark and whimper,dogs bark continuously,multiple dogs bark
a woman speaks and a vehicle engine runs,television program is played far away while a woman talks and birds tweet nearby,some people speak,a television plays in the background while a woman speaks,a person speaks while a television plays in the background,a man and woman speak as animals and birds squawk
a vehicle engine is running and revving up,a car speeding up in the distance,a car accelerates and wind blows,fast car accelerates and moves away while wind blows strongly,an engine runs and shifts gears,motors run as rough wind blows
a man speaks and a vehicle engine runs,water runs into a sink while men speak,water runs from a faucet while some men speak and the water runs in the sink,water runs into a sink as two men speak,water splashing with male speech,water runs into a container as several men speak
a train horn blows and a person speaks,a railroad crossing bell rings as a train horn blows,repeated dings are followed by horn blasts and a person speaking,a railroad crossing bell rings as a man speaks on a radio and a train horn sounds,a bell dings followed by a loud horn blaring,a railroad car approaches from the distant followed by a man speaking and a train horn
a vehicle engine is running and revving up,rustling with distant murmuring,numerous people are talking as cars rev and idle in the background,people speak as someone sneezes while large engine idles and revs,people chatter and cough over a low engine,people speak and a vehicle engine revs
a man speaks and a vehicle engine runs,a man speaks as birds chirp and a vehicle passes nearby,a man speaks as a vehicles passes by then a woman speaks,a man speaks nearby with light rustling and buzzing,a young man speaks as birds chirp quietly,a man speaking
a person speaks and a vehicle engine runs,a man speaks another man speaks and a small bell dings,a man laughs briefly and then another man responds to the laugh,pigeons vocalize and men speak,a man speaks and chuckling is heard in the background followed by another man response,two men speak and doves coo in the background
birds are chirping and a person speaks,birds tweet and squawk,birds vocalize and chirp continuously,several birds tweet and chirp continuously,birds chirp and vocalize,several birds tweet and chirp continuously
a vehicle engine is running and revving up,a man speaks and wind blows as an aircraft engine becomes louder,a man speaks as an aircraft engine approaches,an adult man speaks another man speaks and an engine squeals loudly,a aircraft engine roars as people talk,a loud aircraft engine pierces the air and increases in strength as it draws nearer muffling the speech of those present
a man speaks and a vehicle engine runs,a man speaks and runs a machine,a man speaks a motor runs choppily and another man speaks,a man talking as a motor runs with a series of sanding and rattling,a person talks nearby after which a machine spins up and a person continues to speak,a grown man speaks and a machine runs as another man speaks
a person speaks and a vehicle engine runs,food is frying then a woman speaks,continuous sizzling with a woman speaking towards the end,food fries in a pan as someone talks and cooks,food is frying and someone speaks,food sizzles as a woman and a man speak
a baby cries and a woman speaks,a woman talking as an infant is crying,a baby cries and a woman speaks,an infant cries and a woman speaks,an infant cries and a woman speaks,a child cries while a woman talks
a person speaks and a vehicle engine runs,an adult man speaks over glass clinking,someone uses silverware then speaks,some cutlery and silverware is moved around and a man speaks,an object is placed on a hard surface with a spoon then a man speaks,glass clinks and a male speaks
a person speaks and a vehicle engine runs,people speak and laugh as a child speaks,several people talk and laugh followed by someone coughing,some kids speak followed by coughing and then more speaking,several people talk and laugh and a boy caught deeply,people speak and children laugh
a person speaks and a vehicle engine runs,a frog vocalizes as birds chirp,a small frog makes chirping noises repeatedly while footsteps crunch on grass,squeaking nearby with distant chirps of birds and nearby rustling,birds cry repeatedly,squeaking followed by rustling and then another squeak
a person speaks and a vehicle engine runs,food is moved around in a dish before a woman speaks,something rustling followed by a woman speaks and dishes move,food is moved around in a dish then a woman speaks,someone moves food around in dishes and speaks,some rustling and a woman speaks
a man speaks and a vehicle engine runs,an audience gives applause as a man yells and a group sings,an audience cheers and applaud while a man talks,a crowd applauds as a man yells and the crowd chants,a moderate size crowd claps a man speaks and the crowd starts a chant,an audience cheers and applaud while a man talks
a person speaks and a vehicle engine runs,children cheer as a man speaks then an audience screams,kids chant followed by loud screaming,children yell as a group cheers and a man speaks,a crowd chants and cheers,people chant loudly then something pops and the people continue to chant then they begin screaming
a vehicle engine is running and revving up,an engine idles consistently before sputtering some,a motorcycle engine is idling,a sputtering motor idles roughly,sputtering and clanking of an idling powerful engine,an engine is idling while people speak
a vehicle engine is running and revving up,a motor slows to a stopover traffic noises,a saw finishes running as metal clings in the background,cutting machine running then powering down followed by a series of metal clanking in the background,a saw comes to a slow stop as metal clings in the background,a powered saw runs through some wood
a vehicle engine is running and revving up,an audience gives applause,an audience gives applause,music playing leads into audience applause,an audience gives applause,a crowd applause
a vehicle engine is running and revving up,vehicles pass by on a roadway,roadway noise occurs and a truck accelerates,at a distance several motors run,vehicles move along at differing speeds,an engine runs over traffic noises
a vehicle engine is running and revving up,a man speaks then blows a vehicle horn as wind blows,clicking followed by a honking horn wind blowing and people speaking,a man speaks a horn honks several times wind blows and a man speaks again,a horn is honked followed by wind blowing and a man speaking,a vehicle horn blows and wind blows
a person speaks and a vehicle engine runs,a ratting occurs and a bucket is hit while a cow vocalizes in the background,something rattles and a bucket pops while a cow moos,while outdoors a bucket is thrown over and a hiss comes from a snake,a rattle shakes and a bucket thumps while a cow moos,food sizzles as someone prepares a meal
a dog barks and a man speaks,a dog whimpers and a woman briefly talks,an animal growls playfully and a person speaks,birds are singing a dog is groaning and yipping playfully and an adult female speaks,small animal barks and whines and a person speaks briefly,a dog growls lowly with a man speaking in the middle
a person speaks and a vehicle engine runs,a person snores loudly multiple times at a close distance,a person snores hilariously while someone laughs,a person is snoring with people laughing,a person snores hilariously as someone laughs,someone snores while a person laughs
a person speaks and a vehicle engine runs,animals bleat and moo as a person speaks,a goat bleats as a person speaks,goats bleat and a woman speaks,a goat bleats while a woman talks,animals bleat as a person speaks
a person speaks and a vehicle engine runs,a few ducks quack and scamper and a man speaks,ducks quack continuously before a man speaks,multiple ducks quack then a man speaks,numerous quacks are followed by a man speaking,ducks quack and a man speaks
a vehicle engine is running and revving up,wind blowing and leave are rustling,wind quietly blowing,wind blows lightly and metal scraps slightly,wind blowing hard and an object is tapped,the rustling of the wind as it continuously blows
a man speaks and a vehicle engine runs,a man speaks while food sizzles in cookware,a man speaks while food fries in cookware,a guy speaks while something sizzles in the background,food sizzles and a man speaks,a man speaks as food sizzles
a vehicle engine is running and revving up,people cheer as a vehicle engine revs,wind loudly blowing while people speak in the background followed by a horn blowing,a vehicle moves while people cheer,people yell and cheer over engines running,a motor runs roughly and a person cheers
a vehicle engine is running and revving up,a man speaks outside while it rains and the wind blows,wind blows and rain falls then a man speaks,a small motor run wind blows and a man speaks,wind blows by nearby as water hisses followed by a person talking,wind blows as rain falls on a hard surface and a man speaks
a vehicle engine is running and revving up,a man speaks as emergency sirens wail and motors run,an emergency vehicle siren wails as a man speaks,a man speaks as an emergency vehicle siren wails,an emergency vehicle blares its siren as a man speaks,a man speaks while emergency vehicle sirens sound and cars drive quickly along a road
a toilet flushing,a flush is followed by gurgling water then another flush,a toilet flushes and water drains,toilet flushing and water running followed by another toilet flush,a toilet flushes and water drains,a toilet flushes and water drains
birds are chirping and a person speaks,birds chirp and pigeons vocalize while walking around,birds chirp and pigeons vocalize while walking around,multiple birds chirp flutter and coo,continuous chirping and clanking,birds tweet and pigeons vocalize as they walk around
a vehicle engine is running and revving up,a vehicle accelerates and squeals tires,motors runs briefly and tires screech,a vehicle accelerates and squeals tires while a swish occurs,a car squeals tires and accelerates,a vehicle accelerates then tires squeal and later accelerates again
a vehicle engine is running and revving up,a woman speaks,a woman speaks while an engine runs,a woman speaking with ambient vehicle noises in the background,a woman speaks and another woman chatters as an engine runs,a woman speaks while on a bus which is driving along a road
a person speaks and a vehicle engine runs,water splashes and a door squeaks,a toilet door squeaks as it is opened,water drips and a door squeaks,dripping water with toilet flush and squeak,a toilet flushes and water drains
a vehicle engine is running and revving up,a horn blares angrily over wailing emergency sirens,a firetruck blows its horn as it travels works its way down a street,an emergency siren blares and a horn is honked,an emergency vehicle siren blares nearby multiple times,a fire engine sounds a siren and blows a horn
a woman speaks and a vehicle engine runs,a woman and man softly speaking and laughing,a man and woman speak with some light laughter,a young female speaks and a man chuckles and speaks,a woman speaks and a man laughs and speaks briefly,a woman talks and a man laughs and talks
a vehicle engine is running and revving up,vehicle tires screech and a man speaks before a car door opens,a vehicle engine decelerates and a man speaks before exiting the vehicle,tires squeal and a man speaks followed by quick rapid rips and rustles,tires screech a man speaks followed by clicks and rivets,a car tire squeals and a man speaks followed by a door opening and closing and some tearing occurs
